Trade Value,Year,date,close,high,low,open,volume,target,target_class
38841218.0,2021,2021-01-01 00:00:00+05:30,93.2,94.45,93.0,93.75,15130377,94.05,1
38841218.0,2021,2021-01-04 00:00:00+05:30,96.95,97.3,93.7,94.05,39545073,96.5,0
38841218.0,2021,2021-01-05 00:00:00+05:30,94.95,96.5,94.35,96.5,26998014,98.9,1
38841218.0,2021,2021-01-06 00:00:00+05:30,96.95,99.3,96.25,98.9,50306161,98.0,1
38841218.0,2021,2021-01-07 00:00:00+05:30,97.9,99.05,97.1,98.0,25285200,98.95,1
38841218.0,2021,2021-01-08 00:00:00+05:30,100.65,101.3,98.55,98.95,36022114,101.5,1
38841218.0,2021,2021-01-11 00:00:00+05:30,102.55,102.9,98.05,101.5,36301647,102.0,0
38841218.0,2021,2021-01-12 00:00:00+05:30,103.45,104.5,100.75,102.0,28353142,104.95,1
38841218.0,2021,2021-01-13 00:00:00+05:30,105.25,107.9,104.1,104.95,42401579,107.0,1
38841218.0,2021,2021-01-14 00:00:00+05:30,105.05,107.45,104.2,107.0,24455634,105.25,1
38841218.0,2021,2021-01-15 00:00:00+05:30,101.4,106.1,100.65,105.25,28185982,101.4,0
38841218.0,2021,2021-01-18 00:00:00+05:30,96.65,101.85,96.05,101.4,33623461,97.75,1
38841218.0,2021,2021-01-19 00:00:00+05:30,98.1,99.0,97.5,97.75,26085121,99.0,1
38841218.0,2021,2021-01-20 00:00:00+05:30,98.85,99.8,97.85,99.0,18486566,99.05,1
38841218.0,2021,2021-01-21 00:00:00+05:30,94.7,100.2,93.9,99.05,26939349,94.6,0
38841218.0,2021,2021-01-22 00:00:00+05:30,92.75,95.45,92.5,94.6,27311961,93.05,1
38841218.0,2021,2021-01-25 00:00:00+05:30,91.35,93.75,90.0,93.05,28522112,91.4,1
38841218.0,2021,2021-01-27 00:00:00+05:30,89.7,91.75,88.9,91.4,34022621,89.0,0
38841218.0,2021,2021-01-28 00:00:00+05:30,90.65,91.4,88.8,89.0,26810222,90.75,1
38841218.0,2021,2021-01-29 00:00:00+05:30,88.3,92.95,87.75,90.75,33858273,89.0,1
38841218.0,2021,2021-02-01 00:00:00+05:30,90.85,91.2,88.45,89.0,24228098,92.5,1
38841218.0,2021,2021-02-02 00:00:00+05:30,92.85,93.95,91.2,92.5,22141489,94.6,1
38841218.0,2021,2021-02-03 00:00:00+05:30,93.35,95.3,93.0,94.6,25912911,94.25,1
38841218.0,2021,2021-02-04 00:00:00+05:30,97.65,98.6,94.0,94.25,49670027,98.95,1
38841218.0,2021,2021-02-05 00:00:00+05:30,97.65,99.95,96.8,98.95,30514219,99.5,1
38841218.0,2021,2021-02-08 00:00:00+05:30,99.65,100.8,99.1,99.5,29096831,99.8,1
38841218.0,2021,2021-02-09 00:00:00+05:30,101.0,103.35,99.8,99.8,39638657,102.0,1
38841218.0,2021,2021-02-10 00:00:00+05:30,100.0,102.5,98.6,102.0,21467230,100.0,0
38841218.0,2021,2021-02-11 00:00:00+05:30,99.45,100.35,98.9,100.0,11287104,98.9,0
38841218.0,2021,2021-02-12 00:00:00+05:30,97.0,99.4,96.55,98.9,18187705,97.0,0
38841218.0,2021,2021-02-15 00:00:00+05:30,98.45,99.25,95.6,97.0,26118576,99.25,1
38841218.0,2021,2021-02-16 00:00:00+05:30,103.75,104.85,99.25,99.25,76236798,102.0,0
38841218.0,2021,2021-02-17 00:00:00+05:30,102.25,103.5,100.8,102.0,21014091,103.7,1
38841218.0,2021,2021-02-18 00:00:00+05:30,110.7,115.5,103.35,103.7,110000964,110.7,0
38841218.0,2021,2021-02-19 00:00:00+05:30,105.1,112.2,103.85,110.7,48225988,105.9,1
38841218.0,2021,2021-02-22 00:00:00+05:30,106.3,108.55,105.3,105.9,36592043,109.75,1
38841218.0,2021,2021-02-23 00:00:00+05:30,112.2,114.4,109.45,109.75,90860972,114.0,1
38841218.0,2021,2021-02-24 00:00:00+05:30,113.6,115.35,111.0,114.0,26071364,116.0,1
38841218.0,2021,2021-02-25 00:00:00+05:30,119.05,120.5,115.35,116.0,62038881,115.5,0
38841218.0,2021,2021-02-26 00:00:00+05:30,111.0,118.4,110.05,115.5,55154985,114.3,1
38841218.0,2021,2021-03-01 00:00:00+05:30,117.05,117.65,113.5,114.3,41672980,115.9,0
38841218.0,2021,2021-03-02 00:00:00+05:30,113.5,116.65,112.75,115.9,36303917,114.05,1
38841218.0,2021,2021-03-03 00:00:00+05:30,114.0,115.8,113.2,114.05,19434630,113.95,0
38841218.0,2021,2021-03-04 00:00:00+05:30,112.7,117.0,112.3,113.95,38272786,116.25,1
38841218.0,2021,2021-03-05 00:00:00+05:30,114.95,118.25,113.5,116.25,57756103,118.95,1
38841218.0,2021,2021-03-08 00:00:00+05:30,118.25,122.35,117.2,118.95,63866178,119.4,1
38841218.0,2021,2021-03-09 00:00:00+05:30,116.75,119.55,114.2,119.4,26817643,116.9,1
38841218.0,2021,2021-03-10 00:00:00+05:30,114.4,117.0,113.6,116.9,23841269,116.75,1
38841218.0,2021,2021-03-12 00:00:00+05:30,115.05,117.4,114.0,116.75,20691698,116.0,1
38841218.0,2021,2021-03-15 00:00:00+05:30,114.35,116.85,112.8,116.0,19679958,113.8,0
38841218.0,2021,2021-03-16 00:00:00+05:30,115.1,116.3,113.45,113.8,20680669,114.8,0
